Date,Open,High,Low,Close,Adj Close,Volume
14-Feb-25,6115.52,6127.47,6107.62,6114.63,6114.63,2801121000.00
1-Feb-25,5969.65,6127.47,5923.93,6114.63,6114.63,46088230000.00
1-Jan-25,5903.26,6128.18,5773.31,6040.53,6040.53,88639380000.00
1-Dec-24,6040.11,6099.97,5832.30,5881.63,5881.63,86064900000.00
1-Nov-24,5723.22,6044.17,5696.51,6032.38,6032.38,84101980000.00
1-Oct-24,5757.73,5878.46,5674.00,5705.45,5705.45,82412430000.00
1-Sep-24,5623.89,5767.37,5402.62,5762.48,5762.48,79564830000.00
1-Aug-24,5537.84,5651.62,5119.26,5648.40,5648.40,81097300000.00
1-Jul-24,5471.08,5669.67,5390.95,5522.30,5522.30,80160390000.00
1-Jun-24,5297.15,5523.64,5234.32,5460.48,5460.48,76025620000.00
1-May-24,5029.03,5341.88,5011.05,5277.51,5277.51,86849720000.00
1-Apr-24,5257.97,5263.95,4953.56,5035.69,5035.69,81747170000.00
1-Mar-24,5098.51,5264.85,5056.82,5254.35,5254.35,86299510000.00
1-Feb-24,4861.11,5111.06,4853.52,5096.27,5096.27,82066930000.00
1-Jan-24,4745.20,4931.09,4682.11,4845.65,4845.65,81737880000.00
1-Dec-23,4559.43,4793.30,4546.50,4769.83,4769.83,81530670000.00
1-Nov-23,4201.27,4587.64,4197.74,4567.80,4567.80,80970570000.00
1-Oct-23,4284.52,4393.57,4103.78,4193.80,4193.80,83519460000.00
1-Sep-23,4530.60,4541.25,4238.63,4288.05,4288.05,73482980000.00
1-Aug-23,4578.83,4584.62,4335.31,4507.66,4507.66,86840820000.00
1-Jul-23,4450.48,4607.07,4385.05,4588.96,4588.96,75063200000.00
1-Jun-23,4183.03,4458.48,4171.64,4450.38,4450.38,87983140000.00
1-May-23,4166.79,4231.10,4048.28,4179.83,4179.83,88929200000.00
1-Apr-23,4102.20,4170.06,4049.35,4169.48,4169.48,70861260000.00
1-Mar-23,3963.34,4110.75,3808.86,4109.31,4109.31,113094800000.00
1-Feb-23,4070.07,4195.44,3943.08,3970.15,3970.15,80392280000.00
1-Jan-23,3853.29,4094.21,3794.33,4076.60,4076.60,80763810000.00
1-Dec-22,4087.14,4100.96,3764.49,3839.50,3839.50,85249330000.00
1-Nov-22,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000.00
1-Oct-22,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000.00
1-Sep-22,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000.00
1-Aug-22,4112.38,4325.28,3954.53,3955.00,3955.00,92252350000.00
1-Jul-22,3781.00,4140.15,3721.56,4130.29,4130.29,81688320000.00
1-Jun-22,4149.78,4177.51,3636.87,3785.38,3785.38,106116710000.00
1-May-22,4130.61,4307.66,3810.32,4132.15,4132.15,108860390000.00
1-Apr-22,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000.00
1-Mar-22,4363.14,4637.30,4157.87,4530.41,4530.41,123546260000.00
1-Feb-22,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000.00
1-Jan-22,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000.00
1-Dec-21,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000.00
1-Nov-21,4610.62,4743.83,4560.00,4567.00,4567.00,88268840000.00
1-Oct-21,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000.00
1-Sep-21,4528.80,4545.85,4305.91,4307.54,4307.54,85528860000.00
1-Aug-21,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000.00
1-Jul-21,4300.73,4429.97,4233.13,4395.26,4395.26,84255620000.00
1-Jun-21,4216.52,4302.43,4164.40,4297.50,4297.50,102544180000.00
1-May-21,4191.98,4238.04,4056.88,4204.11,4204.11,88321860000.00
1-Apr-21,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000.00
1-Mar-21,3842.51,3994.41,3723.34,3972.89,3972.89,122371150000.00
1-Feb-21,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000.00
1-Jan-21,3764.61,3870.90,3662.71,3714.24,3714.24,106117800000.00
1-Dec-20,3645.87,3760.20,3633.40,3756.07,3756.07,96375680000.00